STATE_NAME,MEDIUM,MICRO,SMALL
ANDAMAN AND NICOBAR ISLANDS,6,2884,111
ANDHRA PRADESH,422,115320,5799
ARUNACHAL PRADESH,6,1201,53
ASSAM,200,41051,2182
BIHAR,245,167835,3908
CHANDIGARH,76,9010,687
CHHATTISGARH,257,58905,2726
DADAR AND NAGAR HAVELI,3,2511,98
DAMAN AND DIU,2,892,35
DELHI,1399,106599,10080
GOA,40,8963,428
GUJARAT,1164,283123,12067
HARYANA,582,147956,7231
HIMACHAL PRADESH,26,21730,613
JAMMU AND KASHMIR,62,47434,1145
JHARKHAND,170,74753,2357
KARNATAKA,987,248728,10468
KERALA,397,98110,5305
LADAKH,0,1652,32
LAKSHADWEEP,0,114,0
MADHYA PRADESH,397,194520,6634
MAHARASHTRA,2797,962520,25367
MANIPUR,9,10051,175
MEGHALAYA,11,1286,89
MIZORAM,8,2002,52
NAGALAND,2,1757,23
ODISHA,281,87502,3798
PUDUCHERRY,22,6702,266
PUNJAB,337,141714,5021
RAJASTHAN,616,328406,8952
SIKKIM,8,1073,39
TAMIL NADU,1050,431053,13954
TELANGANA,713,150812,6783
TRIPURA,9,3556,163
UTTAR PRADESH,914,326045,11567
UTTARAKHAND,79,39722,1237
WEST BENGAL,772,111856,7657
